Disease,Gene,Number of Publications
Bipolar Disorder,A2BP1,2
Bipolar Disorder,AANAT,1
Bipolar Disorder,ABCA13,1
Bipolar Disorder,ABCB1,4
Bipolar Disorder,ABCB4,1
Bipolar Disorder,ABCC1,1
Bipolar Disorder,ABI3BP,1
Bipolar Disorder,ABLIM1,2
Bipolar Disorder,ACAP2,1
Bipolar Disorder,ACCN1,1
Bipolar Disorder,ACE,4
Bipolar Disorder,ACHE,2
Bipolar Disorder,ACP1,2
Bipolar Disorder,ACSM1,1
Bipolar Disorder,ACTN2,2
Bipolar Disorder,ACTR3,1
Bipolar Disorder,ADA,1
Bipolar Disorder,ADAD1,1
Bipolar Disorder,ADAM10,1
Bipolar Disorder,ADAMTS16,1
Bipolar Disorder,ADCY2,5
Bipolar Disorder,ADCY3,1
Bipolar Disorder,ADCY8,2
Bipolar Disorder,ADCYAP1,3
Bipolar Disorder,ADCYAP1R1,1
Bipolar Disorder,ADH1B,1
Bipolar Disorder,ADM,1
Bipolar Disorder,ADORA2A,1
Bipolar Disorder,ADORA2B,1
Bipolar Disorder,ADORA3,1
Bipolar Disorder,ADRA1A,1
Bipolar Disorder,ADRA1B,1
Bipolar Disorder,ADRA1D,1
Bipolar Disorder,ADRA2A,2
Bipolar Disorder,ADRA2C,1
Bipolar Disorder,ADRB1,2
Bipolar Disorder,ADRB2,2
Bipolar Disorder,ADRBK2,4
Bipolar Disorder,AGMAT,1
Bipolar Disorder,AGT,1
Bipolar Disorder,AGTR1,1
Bipolar Disorder,AHNAK,1
Bipolar Disorder,AKAP9,2
Bipolar Disorder,AKR1C4,2
Bipolar Disorder,AKR1D1,1
Bipolar Disorder,AKT1,6
Bipolar Disorder,AKTIP,1
Bipolar Disorder,ALDH2,5
Bipolar Disorder,ALDH5A1,1
Bipolar Disorder,ALOX12,2
Bipolar Disorder,AMACR,1
Bipolar Disorder,AMBRA1,1
Bipolar Disorder,ANGPT1,1
Bipolar Disorder,ANGPT4,1
Bipolar Disorder,ANK2,1
Bipolar Disorder,Ank3,1
Bipolar Disorder,ANK3,46
Bipolar Disorder,ANKK1,1
Bipolar Disorder,Anxty,1
Bipolar Disorder,APOB,2
Bipolar Disorder,APOD,1
Bipolar Disorder,APOE,7
Bipolar Disorder,APP,1
Bipolar Disorder,AR,1
Bipolar Disorder,ARC,1
Bipolar Disorder,ARHGAP35,1
Bipolar Disorder,ARHGEF5,1
Bipolar Disorder,ARNTL,10
Bipolar Disorder,ARNTL2,2
Bipolar Disorder,ASMT,3
Bipolar Disorder,ASTN1,2
Bipolar Disorder,ASTN2,2
Bipolar Disorder,ATF2,1
Bipolar Disorder,ATF4,3
Bipolar Disorder,ATF5,2
Bipolar Disorder,ATM,1
Bipolar Disorder,ATP10A,1
Bipolar Disorder,ATP13A4,1
Bipolar Disorder,ATP2A2,1
Bipolar Disorder,ATP6,1
Bipolar Disorder,ATXN1,1
Bipolar Disorder,AUTS2,3
Bipolar Disorder,AVP,1
Bipolar Disorder,AVPR1A,1
Bipolar Disorder,AVPR1B,5
Bipolar Disorder,AVPR2,1
Bipolar Disorder,B3GALT5,1
Bipolar Disorder,Bag1,1
Bipolar Disorder,BCL11A,2
Bipolar Disorder,BCL2,4
Bipolar Disorder,BCL9,1
Bipolar Disorder,BCR,2
Bipolar Disorder,BDH1,1
Bipolar Disorder,BDKRB1,1
Bipolar Disorder,BDKRB2,1
Bipolar Disorder,BDNF,101
Bipolar Disorder,BHLHB2,1
Bipolar Disorder,BHLHB3,1
Bipolar Disorder,BHLHE40,2
Bipolar Disorder,BHLHE41,1
Bipolar Disorder,BP1,2
Bipolar Disorder,BP2,4
Bipolar Disorder,BRE,1
Bipolar Disorder,BRP44,1
Bipolar Disorder,BSN,2
Bipolar Disorder,BTBD16,1
Bipolar Disorder,C11orf41,1
Bipolar Disorder,C12orf30,1
Bipolar Disorder,C15orf53,2
Bipolar Disorder,C15orf63,1
Bipolar Disorder,C2orf65,1
Bipolar Disorder,C3orf15,1
Bipolar Disorder,C3orf21,1
Bipolar Disorder,C3orf43,1
Bipolar Disorder,C3orf59,1
Bipolar Disorder,C6orf10,1
Bipolar Disorder,C6orf204,2
Bipolar Disorder,C6orf217,1
Bipolar Disorder,C7orf23,1
Bipolar Disorder,C7orf49,1
Bipolar Disorder,C8orf85,1
Bipolar Disorder,C9orf72,1
Bipolar Disorder,CACNA1B,2
Bipolar Disorder,Cacna1c,2
Bipolar Disorder,CACNA1C,73
Bipolar Disorder,CACNA1D,1
Bipolar Disorder,CACNA1E,1
Bipolar Disorder,CACNA2D1,1
Bipolar Disorder,CACNA2D4,1
Bipolar Disorder,Cacnb2,1
Bipolar Disorder,CACNB2,4
Bipolar Disorder,CACNB3,1
Bipolar Disorder,CACNG2,3
Bipolar Disorder,CACNG5,1
Bipolar Disorder,CADM2,1
Bipolar Disorder,CADPS,1
Bipolar Disorder,CALCA,1
Bipolar Disorder,CALCB,1
Bipolar Disorder,CALM1,1
Bipolar Disorder,CAMK1,1
Bipolar Disorder,CAMK2A,2
Bipolar Disorder,CAMKK2,2
Bipolar Disorder,CAMP,1
Bipolar Disorder,CAP2,1
Bipolar Disorder,CARTPT,2
Bipolar Disorder,CBLN2,1
Bipolar Disorder,CBS,1
Bipolar Disorder,CCDC50,1
Bipolar Disorder,CCDC91,1
Bipolar Disorder,CCK,3
Bipolar Disorder,CCKAR,3
Bipolar Disorder,CCKBR,3
Bipolar Disorder,CCL2,4
Bipolar Disorder,CCNC,1
Bipolar Disorder,CCR2,1
Bipolar Disorder,CCR5,1
Bipolar Disorder,CD38,1
Bipolar Disorder,CD40,1
Bipolar Disorder,CD40LG,1
Bipolar Disorder,CD74,1
Bipolar Disorder,CDC25B,2
Bipolar Disorder,CDH10,2
Bipolar Disorder,CDH12,4
Bipolar Disorder,CDH13,3
Bipolar Disorder,CDH18,1
Bipolar Disorder,CDH23,1
Bipolar Disorder,CDH6,1
Bipolar Disorder,CDH7,1
Bipolar Disorder,CDH9,2
Bipolar Disorder,CDKN2B,1
Bipolar Disorder,CELF4,1
Bipolar Disorder,CENPC1,1
Bipolar Disorder,CFB,1
Bipolar Disorder,CFH,1
Bipolar Disorder,CHAT,2
Bipolar Disorder,CHD7,1
Bipolar Disorder,CHL1,2
Bipolar Disorder,CHMP1B,2
Bipolar Disorder,CHRFAM7A,1
Bipolar Disorder,CHRM1,2
Bipolar Disorder,CHRM2,3
Bipolar Disorder,CHRM3,2
Bipolar Disorder,CHRM4,2
Bipolar Disorder,CHRM5,2
Bipolar Disorder,CHRNA1,3
Bipolar Disorder,CHRNA10,1
Bipolar Disorder,CHRNA2,3
Bipolar Disorder,CHRNA3,3
Bipolar Disorder,CHRNA4,2
Bipolar Disorder,CHRNA5,5
Bipolar Disorder,CHRNA6,4
Bipolar Disorder,CHRNA7,8
Bipolar Disorder,CHRNA9,1
Bipolar Disorder,CHRNB1,2
Bipolar Disorder,CHRNB2,2
Bipolar Disorder,CHRNB3,4
Bipolar Disorder,CHRNB4,2
Bipolar Disorder,CHRND,1
Bipolar Disorder,CHRNE,1
Bipolar Disorder,CHRNG,1
Bipolar Disorder,CIT,1
Bipolar Disorder,CLDN16,1
Bipolar Disorder,CLEC1B,1
Bipolar Disorder,CLINT1,1
Bipolar Disorder,CLOCK,19
Bipolar Disorder,CMTM8,2
Bipolar Disorder,Cmya5,1
Bipolar Disorder,CNNM2,1
Bipolar Disorder,CNR1,4
Bipolar Disorder,CNR2,1
Bipolar Disorder,CNTF,1
Bipolar Disorder,CNTFR,1
Bipolar Disorder,CNTN1,1
Bipolar Disorder,CNTN2,1
Bipolar Disorder,CNTN3,2
Bipolar Disorder,CNTN4,1
Bipolar Disorder,CNTN5,3
Bipolar Disorder,CNTN6,3
Bipolar Disorder,CNTNAP1,1
Bipolar Disorder,CNTNAP2,4
Bipolar Disorder,CNTNAP5,2
Bipolar Disorder,COG2,1
Bipolar Disorder,COL21A1,1
Bipolar Disorder,COMT,56
Bipolar Disorder,CORT,2
Bipolar Disorder,COX2,1
Bipolar Disorder,CPLX1,1
Bipolar Disorder,CPLX2,1
Bipolar Disorder,CPN2,1
Bipolar Disorder,CPO,1
Bipolar Disorder,CPVL,1
Bipolar Disorder,CR1,1
Bipolar Disorder,CREB1,11
Bipolar Disorder,CREB3,1
Bipolar Disorder,CREBBP,1
Bipolar Disorder,CREM,2
Bipolar Disorder,CRH,1
Bipolar Disorder,CRHBP,4
Bipolar Disorder,CRHR1,11
Bipolar Disorder,CRHR2,4
Bipolar Disorder,CRIPT,2
Bipolar Disorder,CRP,5
Bipolar Disorder,Crtc2,1
Bipolar Disorder,CRY1,3
Bipolar Disorder,CRY2,5
Bipolar Disorder,CSF2RB,2
Bipolar Disorder,CSMD1,2
Bipolar Disorder,CSNK1D,2
Bipolar Disorder,CSNK1E,5
Bipolar Disorder,CTLA4,2
Bipolar Disorder,CTNNA2,1
Bipolar Disorder,CTNNB1,2
Bipolar Disorder,CTNND2,1
Bipolar Disorder,CTSG,1
Bipolar Disorder,CTSH,1
Bipolar Disorder,CUX2,1
Bipolar Disorder,CXCL12,1
Bipolar Disorder,CXCR4,1
Bipolar Disorder,CYP2D6,5
Bipolar Disorder,CYP3A4,1
Bipolar Disorder,CYTB,3
Bipolar Disorder,CYTB,1
Bipolar Disorder,CYTH4,2
Bipolar Disorder,DAO,6
Bipolar Disorder,DAOA,30
Bipolar Disorder,DBH,4
Bipolar Disorder,DBI,1
Bipolar Disorder,DBP,3
Bipolar Disorder,DCC,1
Bipolar Disorder,DCHS1,1
Bipolar Disorder,DCTN5,1
Bipolar Disorder,DDC,1
Bipolar Disorder,DDX21,1
Bipolar Disorder,DEGS1,1
Bipolar Disorder,DEGS2,1
Bipolar Disorder,DERL1,1
Bipolar Disorder,DFNB31,2
Bipolar Disorder,DGCR6,1
Bipolar Disorder,DGKH,14
Bipolar Disorder,DGKI,1
Bipolar Disorder,DGKZ,1
Bipolar Disorder,DIO2,1
Bipolar Disorder,DIRAS2,1
Bipolar Disorder,Disc1,2
Bipolar Disorder,DISC1,27
Bipolar Disorder,DISP1,1
Bipolar Disorder,DKFZp761B107,1
Bipolar Disorder,DLEU2,1
Bipolar Disorder,DLG1,5
Bipolar Disorder,DLG2,3
Bipolar Disorder,DLG3,1
Bipolar Disorder,DLGAP4,1
Bipolar Disorder,DLK1,1
Bipolar Disorder,DLK2,1
Bipolar Disorder,DMRT1,1
Bipolar Disorder,DMTF1,1
Bipolar Disorder,DNMT1,1
Bipolar Disorder,DOCK9,1
Bipolar Disorder,DOK5,1
Bipolar Disorder,DPP10,4
Bipolar Disorder,DPP6,1
Bipolar Disorder,DPY19L3,1
Bipolar Disorder,DPYD,1
Bipolar Disorder,DPYSL2,2
Bipolar Disorder,DRD1,9
Bipolar Disorder,DRD2,18
Bipolar Disorder,DRD3,12
Bipolar Disorder,DRD4,18
Bipolar Disorder,DRD5,4
Bipolar Disorder,DRP2,1
Bipolar Disorder,DSCAM,1
Bipolar Disorder,DTNA,1
Bipolar Disorder,DTNBP1,12
Bipolar Disorder,DUSP6,2
Bipolar Disorder,EFEMP1,1
Bipolar Disorder,EGF,1
Bipolar Disorder,EGFR,4
Bipolar Disorder,EGR2,2
Bipolar Disorder,EIF2B2,1
Bipolar Disorder,EIF4H,1
Bipolar Disorder,ENDOV,1
Bipolar Disorder,EPHA5,1
Bipolar Disorder,ERBB2,1
Bipolar Disorder,ERBB3,1
Bipolar Disorder,ERBB4,2
Bipolar Disorder,ERDA1,1
Bipolar Disorder,ESR1,4
Bipolar Disorder,FAAH,4
Bipolar Disorder,FABP3,2
Bipolar Disorder,FABP5,2
Bipolar Disorder,FABP7,2
Bipolar Disorder,FADS1,2
Bipolar Disorder,FADS2,1
Bipolar Disorder,FAM110A,1
Bipolar Disorder,FAM135A,1
Bipolar Disorder,FAM43A,1
Bipolar Disorder,FAM46A,1
Bipolar Disorder,FAM63B,1
Bipolar Disorder,FAM71B,1
Bipolar Disorder,FAN1,1
Bipolar Disorder,FANCI,1
Bipolar Disorder,FAT1,1
Bipolar Disorder,FAT4,1
Bipolar Disorder,FBN1,1
Bipolar Disorder,FBXL13,1
Bipolar Disorder,FBXL3,1
Bipolar Disorder,FBXO32,1
Bipolar Disorder,FBXO38,1
Bipolar Disorder,FBXO45,1
